Precinct	DVote	RVote
838	410	98
839	172	41
840	216	52
841	405	97
842	157	9
843	171	9
844	432	103
845	127	7
846	394	22
847	427	24
848	161	9
849	361	5
850	440	6
851	41	2
852	301	4
853	130	29
854	492	389
855	480	380
856	644	509
857	562	120
858	541	116
859	162	35
860	744	570
861	357	282
862	116	92
863	584	462
864	371	293
865	413	326
866	796	630
867	203	160
868	320	670
869	704	557
870	446	935
871	617	473
872	539	413
873	339	711
874	731	560
875	329	690
876	87	182
877	315	661
878	412	863
879	220	462
880	398	835
881	341	346
882	610	482
883	488	494
884	58	46
885	25	71
886	27	171
887	20	93
888	56	227
889	26	63
890	105	264
891	114	159
892	420	586
893	202	281
894	98	108
895	493	544
896	329	363
897	280	309
898	92	102
899	24	26
900	39	43
901	381	709
902	144	268
903	443	635
904	349	501
905	589	844
906	247	352
907	174	23
908	264	35
909	322	42
910	492	441
911	284	254
912	396	354
913	148	35
914	301	72
915	229	55
916	157	37
917	215	51
918	307	73
919	531	363
920	167	114
921	143	98
922	344	235
923	229	56
924	612	419
925	385	161
926	325	136
927	313	191
928	276	169
929	294	10
930	81	1
931	416	5
932	124	31
933	384	508
934	405	548
935	491	651
936	601	796
937	546	738
938	595	741
939	433	539
940	342	565
941	157	204
942	184	240
943	35	156
944	432	11
945	523	118
946	147	33
947	659	38
948	123	7
949	446	26
950	258	58
951	130	29
952	250	56
953	197	45
954	63	14
955	440	99
956	213	48
957	363	825
958	765	2254
959	474	1143
960	73	176
961	358	569
962	324	955
963	382	921
964	288	928
965	620	1329
966	192	412
967	83	178
968	199	856
969	290	1251
970	248	531
971	372	798
972	228	489
973	1017	2453
974	613	973
975	638	1539
976	334	352
977	595	627
978	20	63
979	26	79
980	491	540
981	391	429
982	46	50
983	153	168
984	195	214
985	387	654
986	283	311
987	406	538
988	393	520
989	593	786
990	558	739
991	440	565
992	556	714
993	524	576
994	350	384
995	512	562
996	727	799
997	604	726
998	418	503
999	293	353
1000	351	422
1001	422	507
1002	328	394
1003	414	498
1004	200	581
1005	252	730
1006	408	1183
1007	437	1169
1008	181	769
1009	219	931
1010	320	898
1011	143	402
1012	403	1130
1013	49	44
1014	393	89
1015	334	75
1016	278	63
1017	529	113
1018	720	154
1019	168	36
1020	487	104
1021	768	588
1022	458	351
1023	458	351
1024	547	117
1025	730	156
1026	308	66
1027	149	32
1028	677	519
1029	428	328
1030	392	300
1031	414	317
1032	500	383
1033	826	633
1034	282	339
1035	326	392
1036	376	453
1037	919	1106
1038	191	146
1039	299	229
1040	6	4
1041	478	366
1042	311	238
1043	212	162
1044	293	224
1045	367	441
1046	167	36
1047	326	70
1048	336	72
1049	242	52
1050	310	66
1051	155	33
1052	400	86
1053	645	494
1054	825	315
1055	484	371
1056	399	480
1057	152	183
1058	422	507
1059	511	614
1060	384	462
1061	273	328
1062	305	234
1063	705	540
1064	648	497
1065	1024	785
1066	108	130
1067	451	542
1068	304	11
1069	318	11
1070	255	9
1071	228	8
1072	399	14
1073	365	13
1074	185	6
1075	217	47
1076	699	150
1077	273	59
1078	353	76
1079	279	60
1080	183	39
1081	401	14
1082	421	15
1083	413	14
1084	266	57
1085	191	41
1086	120	26
1087	354	76
1088	465	100
1089	554	119
1090	524	401
1091	455	348
1092	347	74
1093	492	105
1094	514	110
1095	562	120
1096	531	114
1097	599	458
1098	214	12
1099	344	20
1100	442	100
1101	126	28
1102	116	25
1103	499	107
1104	655	140
1105	255	55
1106	125	27
1107	141	30
1108	162	35
1109	210	47
1110	270	7
1111	479	12
1112	224	48
1113	199	5
1114	137	29
1115	168	36
1116	432	93
1117	684	147
1118	456	12
1119	220	44
1120	192	41
1121	136	29
1122	233	50
1123	63	14
1124	541	116
1125	1037	396
1126	182	36
1127	270	54
1128	478	95
1129	457	91
1130	264	52
1131	503	100
1132	303	65
1133	278	55
1134	162	35
1135	832	178
1136	231	30
